INDEX,MAHDOUDE_NAME,MAHDOUDE_CODE,AQUIFER_NAME,LOCATION_NAME,X,Y,ZONEUTM,X_,Y_,MIN_YEAR,MAX_YEAR,LEVEL_MSL,LEVEL_SRTM
143,سرخس,6004,سرخس,منطقه ویژه تجاری,327360,4032320,41,61.0743249,36.42056768,1377,1396,306,306
144,سرخس,6004,سرخس,نزدیک فرودگاه خط لوله 7,328202,4043802,41,61.08116273,36.5241735,1383,1396,277,277
145,سرخس,6004,سرخس,نزدیک فنسهای فرودگاه,324087,4041753,41,61.03569263,36.50496418,1383,1396,289,289
146,سرخس,6004,سرخس,نهر انقلاب,325017,4039104,41,61.04667153,36.48126735,1376,1396,299,299
147,سرخس,6004,سرخس,نوار مرزی-14,316424,4054512,41,60.94713313,36.61847457,1367,1396,258,258
148,سرخس,6004,سرخس,نوار مرزی-چاه شماره 11,328444,4056794,41,61.08096806,36.64127488,1366,1396,261,261
149,سرخس,6004,سرخس,نوار مرزی-چاه شماره 12,321029,4056174,41,60.99821308,36.63432425,1387,1396,261,261
150,سرخس,6004,سرخس,یاز تپه چاه شماره 2,320848,4053876,41,60.99672576,36.61358645,1377,1396,260,260
151,سرخس,6004,سرخس,یاس تپه راه جنگل,325760,4054481,41,61.05148527,36.61994795,1383,1396,261,261
152,گیسور,5103,گیسور,اکتشافی چاه گچی,735543,3791777,40,59.55752235,34.24045712,1377,1384,885,885
153,گیسور,5103,گیسور,باغ بخشی,731594,3817000,40,59.52148102,34.46859455,1381,1396,849,849
154,گیسور,5103,گیسور,بین چاه بهرامی و کارخانه,710731,3838455,40,59.29982329,34.66639563,1376,1396,902,902
155,گیسور,5103,گیسور,جاده رحمت آباد,712501,3786751,40,59.30628554,34.20012949,1381,1396,959,959
156,گیسور,5103,گیسور,جنگل - راه گیسور به چاه مسیله,720080,3794366,40,59.39041842,34.26717249,1372,1396,870,870
157,گیسور,5103,گیسور,جنوب چاه مسیله,718471,3786610,40,59.37099459,34.19762405,1372,1396,937,937
158,گیسور,5103,گیسور,جنوب غرب چاه مسیله,715221,3789611,40,59.336496,34.2253428,1372,1396,915,915
159,گیسور,5103,گیسور,چاه گچی - اول راه قطار گز,734989,3792608,40,59.55173837,34.24806939,1372,1396,882,882
160,گیسور,5103,گیسور,حوض آجری,713921,3834350,40,59.33357499,34.62874612,1376,1396,885,885
161,گیسور,5103,گیسور,حوض کرم,717245,3832492,40,59.36933183,34.61130608,1376,1393,877,877
162,گیسور,5103,گیسور,راه چاه مسیله به چاه گچی,727892,3790138,40,59.47408497,34.22739389,1372,1396,873,873
163,گیسور,5103,گیسور,راه چاه میقونی,703833,3789086,40,59.21282445,34.22290442,1372,1396,1008,1008
164,گیسور,5103,گیسور,راه قطار گز,731776,3798063,40,59.51834425,34.29793885,1372,1396,863,863
165,گیسور,5103,گیسور,زیر جاده مهاباد به باغ یخ,727659,3810746,40,59.47700983,34.41312327,1381,1396,845,845
166,گیسور,5103,گیسور,شرق آهنگران,708169,3828190,40,59.26936179,34.57442287,1380,1396,876,876
167,گیسور,5103,گیسور,شرق چاه مسیله,725750,3795771,40,59.45232236,34.27861558,1381,1396,852,852
168,گیسور,5103,گیسور,شرق کوده,708756,3834963,40,59.27742302,34.6353345,1376,1396,891,891
169,گیسور,5103,گیسور,شمال راه خشت,735895,3786586,40,59.5599252,34.19360869,1372,1396,871,871
170,گیسور,5103,گیسور,شمال شرقی گیسور,713251,3796941,40,59.31693576,34.29180005,1372,1396,886,886
171,گیسور,5103,گیسور,قطار گز - از قطار گز به کو,728549,3802513,40,59.48449259,34.3387487,1381,1396,851,851
172,گیسور,5103,گیسور,کنار راه حوض کرم (خانه دامداری),716385,3836475,40,59.36097651,34.64737592,1376,1396,893,893
173,گیسور,5103,گیسور,کنار گورستان گیسور,709045,3793815,40,59.2705123,34.26448587,1372,1396,924,924
174,گیسور,5103,گیسور,کنار مادر چاه قنات گیسور,701970,3793689,40,59.19368914,34.26474955,1372,1396,967,967
175,گیسور,5103,گیسور,کناره راه حوض کرم به جنت آباد (شماره چهار جنگل),715684,3844740,40,59.35544292,34.72199365,1376,1396,927,927
176,گیسور,5103,گیسور,کهنه عامر,711974,3829348,40,59.31110154,34.58407919,1380,1396,880,880
177,گیسور,5103,گیسور,مهاباد,732307,3810084,40,59.52735924,34.40612471,1381,1396,880,880
178,گیسور,5103,گیسور,نرسیده به چاه مسیله,721160,3791205,40,59.40133013,34.23846068,1372,1396,881,881
